SampleID,class,3-Hydroxybutyrate,3-Hydroxyisobutyrate,4-Hydroxybenzoate,ADP,AMP,ATP,Acetate,Alanine,Aspartate,Benzoate,Betaine,Cadaverine,Carnitine,Cholate,Choline,Creatine,Dimethylamine,Formate,Fumarate,Glucose,Glutamate,Glutamine,Glutathione,Glycerol,Glycine,Histidine,IMP,Inosine,Isoleucine,Lactate,Leucine,Lysine,Malate,Malonate,Methionine,NAD+,NADP+,Niacinamide,O-Acetylcarnitine,O-Phosphocholine,Ornithine,Oxypurinol,Phenylalanine,Pyruvate,Sarcosine,Succinate,Taurine,Trimethylamine,Tryptophan,Tyrosine,UDP-N-Acetylglucosamine,UDP-galactose,UDP-glucose,UMP,Uracil,Urea,Uridine,Valine,Xanthosine
1--13,Group_A,0.000204456,1.18E-05,2.62E-06,0.000211009,0.001057667,0.000115334,0.000171691,0.003158585,0.000180865,7.08E-05,0.001301442,1.70E-05,0.000294889,0.000137615,0.000100917,0.000201835,0.000132372,2.49E-05,5.50E-05,0.026132372,0.000554391,0.001183486,0.002360419,0.000325033,0.001179554,0.000328965,9.44E-05,0.000269987,0.000145478,0.009597641,0.000259502,0.00019135,0.000251638,0.000102228,4.19E-05,0.000433814,9.70E-05,0.000158585,0.000131062,0.001087811,0.000140236,0.00144692,8.78E-05,3.01E-05,6.95E-05,0.000917431,0.010423329,1.05E-05,2.62E-05,0.00010616,0.000119266,5.77E-05,0.000144168,0.000144168,1.18E-05,0.004973788,0.000209699,0.000259502,9.17E-06
1--14,Group_A,0.000478912,3.67E-05,6.80E-06,0.000458503,0.001453061,9.52E-05,0.000587755,0.004155102,0.000263946,0.000129252,0.001647619,3.27E-05,0.000284354,0.000752381,0.000376871,0.000261224,0.000157823,4.08E-05,3.67E-05,0.034058503,0.00055102,0.00112517,0.003204082,0.000393197,0.001941497,0.000390476,0.000227211,0.000395918,0.000160544,0.015122449,0.000473469,0.000204082,0.000357823,0.000155102,5.99E-05,0.000712925,0.00017415,0.000214966,0.000144218,0.001514286,0.000129252,0.002378231,0.000104762,4.49E-05,5.85E-05,0.001034014,0.009718367,6.80E-06,4.90E-05,0.000129252,0.00024898,0.000115646,0.000472109,0.00035102,3.81E-05,0.009091156,0.000217687,0.000311565,1.36E-05
1--15,Group_A,0.000313669,3.60E-05,1.44E-06,0.000385612,0.001667626,0.000117986,0.000486331,0.004110791,0.000188489,0.000138129,0.001020144,3.45E-05,0.000300719,0.000353957,0.000258993,0.000305036,0.000189928,4.46E-05,3.88E-05,0.036018705,0.000411511,0.000935252,0.002761151,0.000385612,0.001538129,0.000313669,0.000185612,0.000407194,0.000155396,0.015473381,0.000348201,0.000166906,0.00034964,7.19E-05,6.47E-05,0.000644604,0.00014964,0.000258993,9.21E-05,0.001214388,0.000107914,0.001374101,9.64E-05,4.60E-05,8.63E-05,0.000917986,0.004923741,7.19E-06,5.18E-05,0.00012518,0.000240288,9.50E-05,0.000280576,0.000372662,4.03E-05,0.007294964,0.000316547,0.000248921,1.58E-05
1--16,Group_A,0.000280593,3.46E-05,1.24E-06,0.000289246,0.001358467,0.000106304,0.000478368,0.00353152,0.000161928,0.000118665,0.001457355,3.09E-05,0.000258344,0.000145859,0.000241038,0.000273177,0.000138443,3.83E-05,4.33E-05,0.03892089,0.000527812,0.000970334,0.002540173,0.000567367,0.001469716,0.00028801,0.000173053,0.000407911,0.000112485,0.015332509,0.000299135,0.000132262,0.000375773,0.00012979,4.70E-05,0.000609394,0.000128554,0.000222497,7.42E-05,0.00112979,0.000123609,0.002737948,8.28E-05,4.94E-05,7.42E-05,0.001039555,0.006877627,6.18E-06,3.21E-05,0.00010754,0.000211372,8.16E-05,0.000241038,0.000320148,2.72E-05,0.007448702,0.000333745,0.000213844,3.21E-05
5--1,Group_B,0.000296296,4.37E-05,3.97E-06,0.000404762,0.001096561,0.000199735,0.001298942,0.003498677,0.000179894,0.00023545,0.00090873,2.65E-05,0.000425926,0.000384921,0.000149471,0.000251323,0.00026455,9.39E-05,2.51E-05,0.019433862,0.000519841,0.001002646,0.002011905,0.000502646,0.00126455,0.000239418,0.000146825,0.000376984,0.000126984,0.01632672,0.000202381,0.000132275,0.000219577,5.95E-05,2.91E-05,0.000481481,0.00012037,0.000321429,0.00017328,0.001425926,7.01E-05,0.001218254,8.86E-05,2.51E-05,3.97E-05,0.000547619,0.008818783,7.94E-06,3.57E-05,8.20E-05,0.000148148,0.000140212,0.000342593,0.000238095,1.98E-05,0.007189153,0.000248677,0.000187831,1.32E-05
5--2,Group_B,0.000531695,4.01E-05,7.76E-06,0.000507115,0.001783959,0.000241915,0.001460543,0.004688228,0.000282018,0.000188875,0.002350582,4.27E-05,0.000545925,0.000827943,0.000232859,0.000355757,0.000244502,0.00012031,2.07E-05,0.031280724,0.000711514,0.000905563,0.00292238,0.000880983,0.001452781,0.000282018,9.70E-05,0.000627426,0.000111255,0.02057956,0.000214748,0.000181113,0.000404916,8.80E-05,4.40E-05,0.000721863,0.000164295,0.000451488,0.000248383,0.002653299,0.000139715,0.002712807,8.93E-05,3.62E-05,6.21E-05,0.001386805,0.0104489,7.76E-06,3.49E-05,7.76E-05,0.000199224,0.000121604,0.000408797,0.000353169,1.68E-05,0.012517464,0.000408797,0.00025097,1.03E-05
5--3,Group_B,0.000244083,8.88E-06,1.48E-06,0.00039645,0.000835799,7.84E-05,0.000815089,0.001223373,6.21E-05,0.000309172,0.000576923,1.04E-05,0.000178994,0.000158284,7.10E-05,0.00016568,3.40E-05,0.000868343,3.25E-05,0.017689349,0.000273669,0.000420118,0.000448225,0.000319527,0.000531065,0.000113905,6.07E-05,0.000127219,4.59E-05,0.008565089,9.91E-05,0.000115385,0.000170118,0.000134615,2.96E-05,0.000390533,9.02E-05,0.000133136,0.000119822,0.001047337,6.66E-05,0.001192308,2.81E-05,6.36E-05,1.78E-05,0.000551775,0.006482249,2.96E-06,1.04E-05,2.07E-05,9.17E-05,9.02E-05,0.000137574,0.000153846,2.96E-06,0.004946746,0.000147929,9.62E-05,1.33E-05
5--4,Group_B,0.000316597,2.79E-05,5.58E-06,0.0003947,0.001249651,8.37E-05,0.00104463,0.003100418,0.000188285,0.000311018,0.000845188,3.91E-05,0.000401674,0.000126918,0.000129707,0.000308229,0.000308229,0.000129707,2.09E-05,0.019580195,0.000521618,0.000934449,0.001680614,0.000531381,0.001179916,0.000218968,8.09E-05,0.000274756,9.76E-05,0.014750349,0.000174338,0.000124128,0.000329149,5.16E-05,3.21E-05,0.000655509,0.000153417,0.000242678,0.000195258,0.001715481,8.65E-05,0.002351464,7.53E-05,2.93E-05,3.07E-05,0.000672245,0.007101813,8.37E-06,3.35E-05,6.97E-05,0.00016318,0.000114365,0.00025802,0.000260809,1.12E-05,0.006944212,0.000262204,0.000164575,8.37E-06
5--5,Group_B,0.000298561,2.52E-05,3.60E-06,0.000356115,0.001308153,0.000142686,0.001257794,0.003701439,0.000236211,0.00018705,0.001863309,3.00E-05,0.000553957,0.000931655,0.000206235,0.000423261,0.00021223,6.35E-05,3.24E-05,0.028839329,0.000706235,0.000911271,0.002311751,0.000736211,0.001616307,0.00022542,0.000161871,0.000585132,9.83E-05,0.020898082,0.000193046,0.000125899,0.000586331,6.47E-05,5.28E-05,0.000701439,0.000147482,0.000398082,0.000196643,0.002405276,0.000109113,0.002459233,7.43E-05,3.60E-05,7.31E-05,0.00151199,0.009406475,7.19E-06,4.68E-05,8.75E-05,0.000193046,0.000105516,0.000213429,0.00035012,1.68E-05,0.00897482,0.000438849,0.000151079,2.52E-05
5--6,Group_B,0.000249052,2.15E-05,5.06E-06,0.000493047,0.001372946,9.36E-05,0.001489254,0.003475348,0.000288243,0.000217446,0.00105689,3.16E-05,0.000402023,0.000115044,0.000271808,0.000249052,0.000212389,6.45E-05,5.31E-05,0.020903919,0.000830594,0.001154235,0.002102402,0.000451327,0.001785082,0.0002933,0.000102402,0.000228824,0.000111252,0.013844501,0.000214918,0.000166877,0.000835651,5.56E-05,6.57E-05,0.000756005,0.000145386,0.000283186,0.000184576,0.00134134,0.000108723,0.002883692,8.47E-05,4.17E-05,7.46E-05,0.00110493,0.006795196,2.53E-06,2.53E-05,7.59E-05,0.000173198,0.000140329,0.000351454,0.000461441,1.14E-05,0.013013906,0.000231353,0.000199747,8.85E-06
5--7,Group_B,0.000418663,4.16E-05,8.83E-06,0.000437579,0.00165826,9.84E-05,0.001721311,0.00492686,0.000287516,0.000176545,0.001278689,3.78E-05,0.000340479,0.000286255,0.000351828,0.000476671,0.00017024,6.56E-05,4.04E-05,0.022566204,0.000953342,0.001240858,0.002679697,0.000906683,0.00193947,0.000326608,0.000121059,0.000228247,0.000148802,0.017007566,0.000326608,0.000213115,0.000672131,6.43E-05,7.19E-05,0.00074401,0.000136192,0.000282472,0.000126103,0.001547289,0.000216898,0.003791929,8.45E-05,4.04E-05,0.00014628,0.001306431,0.006978562,1.13E-05,2.52E-05,7.57E-05,0.000210593,0.000174023,0.000300126,0.000489281,1.26E-05,0.015636822,0.000261034,0.000317781,8.83E-06
5--8,Group_B,0.000365753,4.52E-05,1.23E-05,0.000609589,0.00180137,0.0001,0.001813699,0.005352055,0.000312329,0.000223288,0.001212329,3.42E-05,0.000317808,0.000110959,0.000263014,0.000453425,0.000254795,8.63E-05,5.07E-05,0.0237,0.000828767,0.001379452,0.002642466,0.000510959,0.001856164,0.000430137,0.000131507,0.000250685,0.000138356,0.019260274,0.000236986,0.000194521,0.000936986,4.93E-05,7.53E-05,0.000769863,0.000175342,0.000306849,0.000178082,0.001790411,0.00019863,0.003771233,9.18E-05,2.60E-05,0.000163014,0.001093151,0.008553425,6.85E-06,4.11E-05,0.00010411,0.000230137,0.00019589,0.000508219,0.000483562,1.23E-05,0.013873973,0.000190411,0.000249315,5.48E-06
5--9,Group_B,0.000335357,4.10E-05,1.21E-05,0.000534143,0.002119879,0.000127466,0.0013217,0.005992413,0.000286798,0.000230653,0.001204856,4.55E-05,0.000370258,0.000115326,0.000298938,0.000588771,0.000353566,0.000118361,8.95E-05,0.02968437,0.00093475,0.002496206,0.00300607,0.00075569,0.002250379,0.000424886,0.000218513,0.000242792,0.000179059,0.021062215,0.000282246,0.000261002,0.000775417,7.13E-05,7.44E-05,0.000817906,0.000186646,0.000314112,0.000171472,0.001921093,0.000192716,0.005047041,0.000121396,6.07E-05,0.000163885,0.001050076,0.010584219,4.55E-06,3.49E-05,0.000122914,0.000235205,0.000118361,0.000490137,0.000610015,1.21E-05,0.012007587,0.000262519,0.000326252,1.52E-05
5--10,Group_B,0.000332461,4.06E-05,7.85E-06,0.000456806,0.00183377,0.000129581,0.001496073,0.005158377,0.000339005,0.000232984,0.001204188,5.10E-05,0.000281414,6.81E-05,0.000299738,0.000291885,0.000147906,7.98E-05,4.84E-05,0.021801047,0.000778796,0.001450262,0.002942408,0.00048822,0.001689791,0.000374346,0.000125654,0.000256545,0.000132199,0.017435864,0.000336387,0.000247382,0.000959424,5.37E-05,0.000244764,0.000647906,0.000137435,0.00034555,0.000157068,0.001616492,0.000235602,0.003689791,8.77E-05,2.49E-05,0.000204188,0.000795812,0.007856021,9.16E-06,4.45E-05,0.000113874,0.000209424,0.000179319,0.000388743,0.000465969,1.05E-05,0.013615183,0.000204188,0.000289267,5.24E-06
9--1,Group_C,0.000316993,6.86E-05,5.56E-05,0.000694444,0.001423203,0.000138889,0.001001634,0.003730392,0.000411765,0.000210784,0.00073366,5.39E-05,0.000638889,0.000397059,0.000531046,0.000542484,0.000179739,0.000125817,5.23E-05,0.007740196,0.001205882,0.002168301,0.003035948,0.000526144,0.00198366,0.000454248,0.000281046,0.000558824,0.000218954,0.015035948,0.000441176,0.000526144,0.000707516,0.000130719,7.19E-05,0.000539216,0.000174837,0.000477124,0.000253268,0.001689542,0.000178105,0.00497549,0.000135621,4.90E-05,4.74E-05,0.000488562,0.021006536,2.45E-05,6.21E-05,0.000106209,0.000310458,0.000147059,0.000356209,0.000584967,1.96E-05,0.007681373,0.000607843,0.000431373,1.31E-05
9--2,Group_C,0.000297806,4.70E-05,5.33E-05,0.000670846,0.001490596,9.87E-05,0.000805643,0.002805643,0.000416928,0.000202194,0.00060815,2.66E-05,0.000377743,0.000399687,0.000399687,0.000446708,9.87E-05,8.78E-05,4.86E-05,0.005247649,0.000982759,0.001940439,0.002065831,0.000257053,0.00161442,0.000333856,0.000221003,0.000322884,0.000163009,0.009587774,0.000318182,0.00045768,0.000568966,0.000111285,6.90E-05,0.000545455,0.000159875,0.000304075,0.000233542,0.001512539,0.000148903,0.003159875,9.40E-05,4.08E-05,4.55E-05,0.000424765,0.016769592,1.25E-05,4.08E-05,6.90E-05,0.000255486,0.000159875,0.000382445,0.000539185,9.40E-06,0.005410658,0.000308777,0.000319749,1.41E-05
9--3,Group_C,0.000302782,4.91E-05,5.07E-05,0.000765957,0.001903437,0.000152209,0.001116203,0.003572831,0.000441899,0.000188216,0.000713584,3.60E-05,0.000463175,0.000328969,0.000495908,0.000490998,0.00010311,0.000130933,4.91E-05,0.00508838,0.001319149,0.002207856,0.002765957,0.000343699,0.001949264,0.000391162,0.000284779,0.000325696,0.000145663,0.010252046,0.000302782,0.000486088,0.000824877,0.00011293,5.56E-05,0.000487725,0.000184943,0.000414075,0.000276596,0.002220949,0.0001473,0.005576105,9.33E-05,3.93E-05,3.44E-05,0.000207856,0.020620295,1.31E-05,4.09E-05,5.73E-05,0.000324059,0.000160393,0.000476268,0.000713584,2.62E-05,0.006756137,0.000307692,0.000333879,8.18E-06
9--4,Group_C,0.000329545,4.87E-05,5.52E-05,0.000602273,0.001314935,0.00012013,0.000681818,0.002667208,0.000366883,0.000204545,0.000594156,2.27E-05,0.00023539,0.000724026,0.000413961,0.000589286,0.000102273,6.17E-05,5.03E-05,0.004459416,0.001006494,0.001923701,0.002097403,0.000332792,0.001672078,0.000293831,0.000219156,0.000295455,0.000108766,0.007310065,0.000279221,0.000353896,0.000590909,0.00011039,4.87E-05,0.000527597,0.000154221,0.000248377,0.000198052,0.001475649,0.000142857,0.003272727,8.12E-05,3.73E-05,4.22E-05,0.000910714,0.015561688,1.30E-05,3.90E-05,3.57E-05,0.000232143,0.00011039,0.000352273,0.000517857,1.95E-05,0.004935065,0.000258117,0.00025487,9.74E-06
9--5,Group_C,0.000234646,4.88E-05,4.57E-05,0.000648819,0.001529134,0.000148031,0.000988976,0.00287874,0.00043622,0.00016378,0.000817323,1.89E-05,0.000555906,8.66E-05,0.000549606,0.000896063,9.92E-05,8.03E-05,5.83E-05,0.003601575,0.001327559,0.002119685,0.001914961,0.000289764,0.001555906,0.000330709,0.000338583,0.000289764,0.000149606,0.008505512,0.000261417,0.000395276,0.000823622,8.19E-05,8.19E-05,0.000431496,0.000165354,0.000305512,0.00023937,0.002508661,0.000173228,0.00472126,8.50E-05,3.46E-05,4.09E-05,0.000130709,0.0182,1.73E-05,3.62E-05,5.35E-05,0.000250394,0.00015748,0.000448819,0.000535433,1.10E-05,0.007143307,0.000310236,0.000329134,9.45E-06
9--6,Group_C,0.000244262,5.25E-05,5.57E-05,0.000754098,0.002186885,0.000198361,0.001029508,0.002996721,0.00035082,0.000190164,0.000942623,4.75E-05,0.000340984,0.000168852,0.000470492,0.000513115,0.000106557,7.87E-05,9.67E-05,0.017285246,0.000906557,0.002422951,0.001785246,0.000472131,0.002285246,0.000440984,0.000327869,0.000391803,0.000295082,0.017427869,0.000504918,0.000390164,0.000816393,6.56E-05,9.67E-05,0.000483607,0.000152459,0.000470492,0.000209836,0.001529508,0.000185246,0.004914754,0.000154098,6.72E-05,9.02E-05,0.00022623,0.013557377,2.62E-05,4.59E-05,0.000147541,0.00032623,0.000162295,0.000519672,0.00067541,1.97E-05,0.006445902,0.000260656,0.000431148,1.15E-05
9--7,Group_C,0.000283763,4.40E-05,4.55E-05,0.000676783,0.001877086,0.000151745,0.001051593,0.002811836,0.00038695,0.000165402,0.000995448,4.10E-05,0.000254932,0.00014871,0.000359636,0.000368741,9.56E-05,0.000104704,9.10E-05,0.013532625,0.000742033,0.001734446,0.001837633,0.00037481,0.001962064,0.000443096,0.000277693,0.000288316,0.000300455,0.012054628,0.000591806,0.000397572,0.000869499,5.61E-05,0.000110774,0.000590288,0.000147193,0.000314112,0.000185129,0.001261002,0.000194234,0.005626707,0.00016085,5.77E-05,3.19E-05,0.000192716,0.010664643,1.21E-05,3.79E-05,5.31E-05,0.000245827,0.000157815,0.000388467,0.000646434,1.82E-05,0.006133536,0.000197269,0.00052352,1.06E-05
9--8,Group_C,0.000259494,7.59E-05,5.22E-05,0.000620253,0.002261076,0.000125,0.000993671,0.00219462,0.000438291,0.000223101,0.000947785,3.64E-05,0.000416139,0.000128165,0.00097943,0.000371835,9.49E-05,0.000112342,5.54E-05,0.003294304,0.001525316,0.001427215,0.001128165,0.000463608,0.002060127,0.000424051,0.000186709,0.000243671,0.000289557,0.00418038,0.000525316,0.000469937,0.000632911,5.85E-05,8.23E-05,0.000639241,0.000183544,0.000286392,5.54E-05,0.001281646,0.000259494,0.005311709,0.000143987,3.48E-05,0.000115506,0.000441456,0.011246835,1.74E-05,3.64E-05,0.000148734,0.000216772,0.000129747,0.000329114,0.000602848,1.74E-05,0.006193038,0.000256329,0.000579114,1.11E-05
9--9,Group_C,0.000323764,7.02E-05,4.78E-05,0.00054386,0.002786284,0.00014992,0.001406699,0.002620415,0.000572568,0.00023764,0.001245614,2.55E-05,0.000443381,0.000167464,0.001044657,0.000527911,0.000100478,0.000111643,4.47E-05,0.00299681,0.001634769,0.001889952,0.001655502,0.000599681,0.002574163,0.000513557,0.000263158,0.000355662,0.000328549,0.007181818,0.000523126,0.000491228,0.000652313,6.22E-05,0.000137161,0.000400319,0.000172249,0.000435407,7.02E-05,0.001499203,0.000242424,0.006266348,0.000148325,4.63E-05,0.000113238,0.000253589,0.015870813,1.59E-05,3.19E-05,0.000143541,0.000271132,0.000175439,0.000357257,0.000741627,1.91E-05,0.007411483,0.000328549,0.000617225,1.12E-05
9--10,Group_C,0.000296296,6.02E-05,4.94E-05,0.000612654,0.001834877,0.000137346,0.001037037,0.003027778,0.000296296,0.000182099,0.001054012,4.32E-05,0.000345679,0.000112654,0.000532407,0.000540123,0.000165123,7.41E-05,0.000108025,0.007884259,0.000915123,0.001617284,0.001237654,0.000552469,0.001981481,0.000432099,0.00033642,0.000262346,0.000282407,0.010160494,0.000521605,0.00045216,0.00099537,6.94E-05,8.64E-05,0.000501543,0.000140432,0.000305556,0.000146605,0.001140432,0.00020679,0.006217593,0.000155864,4.01E-05,0.00012963,0.00029784,0.013944444,1.70E-05,5.71E-05,0.000160494,0.000262346,0.000138889,0.000300926,0.000634259,1.39E-05,0.005919753,0.000239198,0.000526235,1.70E-05
6--3,Group_D,0.000532213,3.50E-05,1.54E-05,0.000333333,0.000809524,9.24E-05,0.001180672,0.003964986,0.001196078,0.000229692,0.002441176,1.96E-05,0.000438375,0.000109244,0.000743697,0.000991597,0.000284314,0.000123249,8.26E-05,0.001065826,0.002697479,0.00152521,0.001768908,0.000441176,0.001635854,0.000596639,3.36E-05,0.00027451,0.000261905,0.006690476,0.000492997,0.001002801,0.000859944,7.28E-05,7.70E-05,0.000341737,0.000130252,0.000294118,8.54E-05,0.001969188,0.000536415,0.001802521,0.000163866,2.66E-05,6.30E-05,0.000885154,0.007253501,5.60E-06,5.32E-05,0.000212885,0.000207283,2.80E-05,5.46E-05,0.000103641,2.52E-05,0.027915966,0.000123249,0.000581232,5.60E-06
